Nama File,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1
soal10_llama3_8b.txt,0.0237,0.0040,0.0158,0.5909
soal11_llama3_8b.txt,0.0232,0.0000,0.0232,0.6016
soal12_llama3_8b.txt,0.0197,0.0000,0.0194,0.5938
soal13_llama3_8b.txt,0.0279,0.0000,0.0272,0.6052
soal14_llama3_8b.txt,0.0347,0.0057,0.0289,0.6101
soal15_llama3_8b.txt,0.0365,0.0000,0.0243,0.5830
soal16_llama3_8b.txt,0.0189,0.0000,0.0189,0.5507
soal17_llama3_8b.txt,0.0114,0.0000,0.0114,0.5767
soal18_llama3_8b.txt,0.0293,0.0000,0.0176,0.5985
soal19_llama3_8b.txt,0.0390,0.0000,0.0260,0.6047
soal1_llama3_8b.txt,0.0306,0.0000,0.0219,0.5919
soal20_llama3_8b.txt,0.0415,0.0000,0.0336,0.5869
soal21_llama3_8b.txt,0.0281,0.0000,0.0211,0.5726
soal22_llama3_8b.txt,0.0417,0.0000,0.0278,0.5808
soal23_llama3_8b.txt,0.0627,0.0000,0.0376,0.5908
soal24_llama3_8b.txt,0.1607,0.0056,0.0682,0.5875
soal25_llama3_8b.txt,0.0298,0.0000,0.0298,0.5518
soal26_llama3_8b.txt,0.0407,0.0000,0.0329,0.5597
soal27_llama3_8b.txt,0.0317,0.0000,0.0226,0.5939
soal28_llama3_8b.txt,0.0220,0.0000,0.0220,0.5761
soal29_llama3_8b.txt,0.0256,0.0065,0.0256,0.5773
soal2_llama3_8b.txt,0.0377,0.0000,0.0209,0.5893
soal30_llama3_8b.txt,0.0175,0.0000,0.0088,0.5768
soal3_llama3_8b.txt,0.0394,0.0078,0.0348,0.6113
soal4_llama3_8b.txt,0.0291,0.0000,0.0242,0.6161
soal5_llama3_8b.txt,0.0299,0.0000,0.0299,0.6159
soal6_llama3_8b.txt,0.0312,0.0052,0.0312,0.5863
soal7_llama3_8b.txt,0.0246,0.0000,0.0164,0.6010
soal8_llama3_8b.txt,0.0303,0.0000,0.0253,0.6165
soal9_llama3_8b.txt,0.0190,0.0000,0.0190,0.6041
